input,changed
バフォ,バフォメット
カーツ,カーツ
ガーストロード,ガーストロード
カスパ,四賢者
カスパーズ,四賢者
アリ,巨大守護アリ
スピ,スピリッド
リカント,リカント
ネクロ,ネクロマンサー
DK,デスナイト
クモ,アルフィア
山賊,山賊の親分
クライン,ボスクライン
ファウスト,ボスクライン
ドッペボス,ドッペルゲンガーボス
ジャイアントワーム,ジャイアントワーム
ワーム,ジャイアントワーム
シャスキー赤,シャスキー赤
狂風のシャスキー,シャスキー赤
シャスキー緑,シャスキー緑
疾風のシャスキー,シャスキー緑
DE,ダークハイエルダー
クロコ,ジャイアントクロコダイル
ワニ,ジャイアントクロコダイル
デカドレイク,ジャイアントドレイク
49ドレ,西ドレ
46ドレ,中ドレ
48ドレ,右ドレ
イフ,イフリート
マーヨ,ビッグフットマーヨ
フェニックス,フェニックス
フェニ,フェニックス
監視者デーモン,監視者デーモン
巨人,古代巨人
デーモン,デーモン
ゼニス,ゼニスクイーン
シアー,シアー
ヴァンパ,ヴァンパイア
VP,ヴァンパイア
ゾンビ,ゾンビロード
クーガー,クーガー
マミー,マミーロード
アイリス,アイリス
