time,events,remark,type,notes
11:55,アイスマンボキング,,出現,
12:25,ゼニスクイーン,,出現,"(:map: : 傲慢の塔 1F , ランダム出現だよ :cyclone:)"
12:25,クーガー,,出現,"(:map: : 傲慢の塔 5F , ランダム出現だよ :cyclone:)"
12:55,アビシュ,,出現,
13:25,シアー,,出現,"(:map: : 傲慢の塔 2F , ランダム出現だよ :cyclone:)"
13:25,マミーロード,,出現,"(:map: : 傲慢の塔 6F , ランダム出現だよ :cyclone:)"
14:15,バフォメット,,出現,(:map: : 16.カオティック神殿:)
18:25,ヴァンパイア,,出現,"(:map: : 傲慢の塔 3F , ランダム出現だよ :cyclone:)"
18:25,アイリス,,出現,"(:map: : 傲慢の塔 7F , ランダム出現だよ :cyclone:)"
18:55,千年九尾狐,,出現,
19:25,ゾンビロード,,出現,"(:map: : 傲慢の塔 4F , ランダム出現だよ :cyclone:)"
19:55,アズモダン,,出現,
19:55,バフォメット,,出現,(:map: : 16.カオティック神殿:)
20:55,氷の女王,,出現,
22:25,デーモン,,出現,
21:25,テーベラス,Mon,開始,
21:55,ゼロス,Mon,出現,
21:25,テーベラス,Tue,開始,
21:55,ゼロス,Tue,出現,
21:55,ゼロス,Wed,出現,
21:55,ゼロス,Thu,出現,
21:25,崩れる島,Fri,開始,
21:55,ゼロス,Fri,出現,
21:25,崩れる島,Sat,開始,
21:55,ゼロス,Sat,出現,
22:25,ラスタバド HotTime,Sat,開始,
21:55,攻城戦,Sun,開始,
16:55,デスナイト,temp,出現,"(:map: : 28.亡者の墓 , ランダム出現だよ :cyclone:)"
